data,mes,grupo,variavel,valor,tabela
2013-06-01,201306,1.Alimentação e bebidas,IPCA - Variação mensal,0.04,1419
2013-07-01,201307,1.Alimentação e bebidas,IPCA - Variação mensal,-0.33,1419
2013-08-01,201308,1.Alimentação e bebidas,IPCA - Variação mensal,0.01,1419
2013-09-01,201309,1.Alimentação e bebidas,IPCA - Variação mensal,0.14,1419
2013-10-01,201310,1.Alimentação e bebidas,IPCA - Variação mensal,1.03,1419
2013-11-01,201311,1.Alimentação e bebidas,IPCA - Variação mensal,0.56,1419
2013-12-01,201312,1.Alimentação e bebidas,IPCA - Variação mensal,0.89,1419
2014-01-01,201401,1.Alimentação e bebidas,IPCA - Variação mensal,0.84,1419
2014-02-01,201402,1.Alimentação e bebidas,IPCA - Variação mensal,0.56,1419
2014-03-01,201403,1.Alimentação e bebidas,IPCA - Variação mensal,1.92,1419
2014-04-01,201404,1.Alimentação e bebidas,IPCA - Variação mensal,1.19,1419
2014-05-01,201405,1.Alimentação e bebidas,IPCA - Variação mensal,0.58,1419
2014-06-01,201406,1.Alimentação e bebidas,IPCA - Variação mensal,-0.11,1419
2014-07-01,201407,1.Alimentação e bebidas,IPCA - Variação mensal,-0.15,1419
2014-08-01,201408,1.Alimentação e bebidas,IPCA - Variação mensal,-0.15,1419
2014-09-01,201409,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,1419
2014-10-01,201410,1.Alimentação e bebidas,IPCA - Variação mensal,0.46,1419
2014-11-01,201411,1.Alimentação e bebidas,IPCA - Variação mensal,0.77,1419
2014-12-01,201412,1.Alimentação e bebidas,IPCA - Variação mensal,1.08,1419
2015-01-01,201501,1.Alimentação e bebidas,IPCA - Variação mensal,1.48,1419
2015-02-01,201502,1.Alimentação e bebidas,IPCA - Variação mensal,0.81,1419
2015-03-01,201503,1.Alimentação e bebidas,IPCA - Variação mensal,1.17,1419
2015-04-01,201504,1.Alimentação e bebidas,IPCA - Variação mensal,0.97,1419
2015-05-01,201505,1.Alimentação e bebidas,IPCA - Variação mensal,1.37,1419
2015-06-01,201506,1.Alimentação e bebidas,IPCA - Variação mensal,0.63,1419
2015-07-01,201507,1.Alimentação e bebidas,IPCA - Variação mensal,0.65,1419
2015-08-01,201508,1.Alimentação e bebidas,IPCA - Variação mensal,-0.01,1419
2015-09-01,201509,1.Alimentação e bebidas,IPCA - Variação mensal,0.24,1419
2015-10-01,201510,1.Alimentação e bebidas,IPCA - Variação mensal,0.77,1419
2015-11-01,201511,1.Alimentação e bebidas,IPCA - Variação mensal,1.83,1419
2015-12-01,201512,1.Alimentação e bebidas,IPCA - Variação mensal,1.5,1419
2016-01-01,201601,1.Alimentação e bebidas,IPCA - Variação mensal,2.28,1419
2016-02-01,201602,1.Alimentação e bebidas,IPCA - Variação mensal,1.06,1419
2016-03-01,201603,1.Alimentação e bebidas,IPCA - Variação mensal,1.24,1419
2016-04-01,201604,1.Alimentação e bebidas,IPCA - Variação mensal,1.09,1419
2016-05-01,201605,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,1419
2016-06-01,201606,1.Alimentação e bebidas,IPCA - Variação mensal,0.71,1419
2016-07-01,201607,1.Alimentação e bebidas,IPCA - Variação mensal,1.32,1419
2016-08-01,201608,1.Alimentação e bebidas,IPCA - Variação mensal,0.3,1419
2016-09-01,201609,1.Alimentação e bebidas,IPCA - Variação mensal,-0.29,1419
2016-10-01,201610,1.Alimentação e bebidas,IPCA - Variação mensal,-0.05,1419
2016-11-01,201611,1.Alimentação e bebidas,IPCA - Variação mensal,-0.2,1419
2016-12-01,201612,1.Alimentação e bebidas,IPCA - Variação mensal,0.08,1419
2017-01-01,201701,1.Alimentação e bebidas,IPCA - Variação mensal,0.35,1419
2017-02-01,201702,1.Alimentação e bebidas,IPCA - Variação mensal,-0.45,1419
2017-03-01,201703,1.Alimentação e bebidas,IPCA - Variação mensal,0.34,1419
2017-04-01,201704,1.Alimentação e bebidas,IPCA - Variação mensal,0.58,1419
2017-05-01,201705,1.Alimentação e bebidas,IPCA - Variação mensal,-0.35,1419
2017-06-01,201706,1.Alimentação e bebidas,IPCA - Variação mensal,-0.5,1419
2017-07-01,201707,1.Alimentação e bebidas,IPCA - Variação mensal,-0.47,1419
2017-08-01,201708,1.Alimentação e bebidas,IPCA - Variação mensal,-1.07,1419
2017-09-01,201709,1.Alimentação e bebidas,IPCA - Variação mensal,-0.41,1419
2017-10-01,201710,1.Alimentação e bebidas,IPCA - Variação mensal,-0.05,1419
2017-11-01,201711,1.Alimentação e bebidas,IPCA - Variação mensal,-0.38,1419
2017-12-01,201712,1.Alimentação e bebidas,IPCA - Variação mensal,0.54,1419
2018-01-01,201801,1.Alimentação e bebidas,IPCA - Variação mensal,0.74,1419
2018-02-01,201802,1.Alimentação e bebidas,IPCA - Variação mensal,-0.33,1419
2018-03-01,201803,1.Alimentação e bebidas,IPCA - Variação mensal,0.07,1419
2018-04-01,201804,1.Alimentação e bebidas,IPCA - Variação mensal,0.09,1419
2018-05-01,201805,1.Alimentação e bebidas,IPCA - Variação mensal,0.32,1419
2018-06-01,201806,1.Alimentação e bebidas,IPCA - Variação mensal,2.03,1419
2018-07-01,201807,1.Alimentação e bebidas,IPCA - Variação mensal,-0.12,1419
2018-08-01,201808,1.Alimentação e bebidas,IPCA - Variação mensal,-0.34,1419
2018-09-01,201809,1.Alimentação e bebidas,IPCA - Variação mensal,0.1,1419
2018-10-01,201810,1.Alimentação e bebidas,IPCA - Variação mensal,0.59,1419
2018-11-01,201811,1.Alimentação e bebidas,IPCA - Variação mensal,0.39,1419
2018-12-01,201812,1.Alimentação e bebidas,IPCA - Variação mensal,0.44,1419
2019-01-01,201901,1.Alimentação e bebidas,IPCA - Variação mensal,0.9,1419
2019-02-01,201902,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,1419
2019-03-01,201903,1.Alimentação e bebidas,IPCA - Variação mensal,1.37,1419
2019-04-01,201904,1.Alimentação e bebidas,IPCA - Variação mensal,0.63,1419
2019-05-01,201905,1.Alimentação e bebidas,IPCA - Variação mensal,-0.56,1419
2019-06-01,201906,1.Alimentação e bebidas,IPCA - Variação mensal,-0.25,1419
2019-07-01,201907,1.Alimentação e bebidas,IPCA - Variação mensal,0.01,1419
2019-08-01,201908,1.Alimentação e bebidas,IPCA - Variação mensal,-0.35,1419
2019-09-01,201909,1.Alimentação e bebidas,IPCA - Variação mensal,-0.43,1419
2019-10-01,201910,1.Alimentação e bebidas,IPCA - Variação mensal,0.05,1419
2019-11-01,201911,1.Alimentação e bebidas,IPCA - Variação mensal,0.72,1419
2019-12-01,201912,1.Alimentação e bebidas,IPCA - Variação mensal,3.38,1419
2020-01-01,202001,1.Alimentação e bebidas,IPCA - Variação mensal,0.39,7060
2020-02-01,202002,1.Alimentação e bebidas,IPCA - Variação mensal,0.11,7060
2020-03-01,202003,1.Alimentação e bebidas,IPCA - Variação mensal,1.13,7060
2020-04-01,202004,1.Alimentação e bebidas,IPCA - Variação mensal,1.79,7060
2020-05-01,202005,1.Alimentação e bebidas,IPCA - Variação mensal,0.24,7060
2020-06-01,202006,1.Alimentação e bebidas,IPCA - Variação mensal,0.38,7060
2020-07-01,202007,1.Alimentação e bebidas,IPCA - Variação mensal,0.01,7060
2020-08-01,202008,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,7060
2020-09-01,202009,1.Alimentação e bebidas,IPCA - Variação mensal,2.28,7060
2020-10-01,202010,1.Alimentação e bebidas,IPCA - Variação mensal,1.93,7060
2020-11-01,202011,1.Alimentação e bebidas,IPCA - Variação mensal,2.54,7060
2020-12-01,202012,1.Alimentação e bebidas,IPCA - Variação mensal,1.74,7060
2021-01-01,202101,1.Alimentação e bebidas,IPCA - Variação mensal,1.02,7060
2021-02-01,202102,1.Alimentação e bebidas,IPCA - Variação mensal,0.27,7060
2021-03-01,202103,1.Alimentação e bebidas,IPCA - Variação mensal,0.13,7060
2021-04-01,202104,1.Alimentação e bebidas,IPCA - Variação mensal,0.4,7060
2021-05-01,202105,1.Alimentação e bebidas,IPCA - Variação mensal,0.44,7060
2021-06-01,202106,1.Alimentação e bebidas,IPCA - Variação mensal,0.43,7060
2021-07-01,202107,1.Alimentação e bebidas,IPCA - Variação mensal,0.6,7060
2021-08-01,202108,1.Alimentação e bebidas,IPCA - Variação mensal,1.39,7060
